2018-07-18 15:19:14.159 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 15:19:17.639 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 3.576 seconds (JVM running for 1130.327)
2018-07-18 15:22:09.299 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 10020 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 15:22:09.301 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 15:22:43.844 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 37.768 seconds (JVM running for 40.21)
2018-07-18 15:26:34.175 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 10020 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 15:26:34.176 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 15:26:38.531 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 4.525 seconds (JVM running for 274.896)
2018-07-18 15:28:43.797 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarting - Starting OrderServiceApp on YULANG-PC with PID 10020 (G:\STS\e-parent\e-order-service\target\classes started by Administrator in G:\STS\e-parent\e-order-service)
2018-07-18 15:28:43.797 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-18 15:28:49.756 logback [restartedMain] INFO  com.edwin.fsg.OrderServiceApp.logStarted - Started OrderServiceApp in 6.091 seconds (JVM running for 406.121)
